Date,Close,High,Low,Open,Volume,MA_10,MA_50,EMA_10,EMA_50,RSI
2024-07-16,446.0997924804687,450.84342238707205,443.26156747821994,450.764044396858,17175700,,,446.0997924804687,446.0997924804687,
2024-07-17,440.1454162597656,441.46531376189114,435.8384412822571,439.22249954002416,21778000,,,445.017178622159,445.86628753063724,
2024-07-18,437.0193786621094,441.2668124744543,431.0948010273652,440.95917357547034,20794800,,,443.5630331748772,445.51934992794986,
2024-07-19,433.7841796875,437.7835460054657,428.7130742947466,429.80471086507333,20940400,,,441.7850598135359,445.05914717342245,
2024-07-22,439.5698547363281,441.2172281155517,435.5705185548157,438.4286106688719,15808800,,,441.3822952540435,444.8438808033403,
2024-07-23,441.4653015136719,444.9783753997072,439.7286166377608,440.5225176097392,13107100,,,441.39738730124867,444.71138749786314,
2024-07-24,425.63665771484375,438.1209582611595,424.3366274271562,437.0987963490377,26805800,,,438.53180010372046,443.9633588789212,
2024-07-25,415.216552734375,426.5298085564155,414.3333401430881,425.5374171635106,29943800,,,434.2926642183849,442.8360331477626,
2024-07-26,422.0342712402344,425.6565240052853,414.0951402007918,415.0180872010169,23583800,,,432.06386549508477,442.0202777788399,
2024-07-29,423.4831848144531,428.86192913835873,421.4686315229256,428.29625878283395,15125800,432.445458984375,,430.5037417349699,441.2933329567071,
2024-07-30,419.7021789550781,425.7855127211385,414.18445497765873,424.4656455012434,32687600,429.8056976318359,,428.539821229535,440.4466210350746,
2024-07-31,415.1669616699219,418.57085701348217,409.0736637399348,417.3005971918285,42891400,427.30785217285154,,426.1083922186962,439.4552618442843,
2024-08-01,413.9363708496094,424.20762810841023,409.9469682421122,417.58839429378,30296400,424.9995513916016,,423.89529742431677,438.4545210209637,
2024-08-02,405.3819274902344,411.8424047843173,401.2635094994672,409.35149283755305,29437900,422.159326171875,,420.5292301635745,437.1575565687782,21.96255770899748
2024-08-05,392.1434326171875,397.9886321568055,382.6462402085907,386.20895177644206,40709200,417.41668395996095,,415.36817606423136,435.3922968059707,18.57589629438995
2024-08-06,396.5695190429687,402.5834388839359,395.4679791086585,396.9565662320286,24946500,412.92710571289064,,411.9502384240018,433.86983493291183,24.16149888803031
2024-08-07,395.39849853515625,406.9598522968999,394.4458112703364,405.53083654236127,20650900,409.9032897949219,,408.9408311714844,432.36115507417634,24.734971858648166
2024-08-08,399.6260681152344,402.77193167950935,396.8969919508049,399.3779702821044,20203000,408.3442413330078,,407.2472378885298,431.0774261738257,29.511918233133954
2024-08-09,402.93072509765625,404.945278327108,399.1993542150353,400.9558760021183,19276700,406.43388671875,,406.46241738109825,429.9736339747602,27.349673033683672
2024-08-12,403.7147216796875,405.6498969215895,401.16426864795665,403.9628195165785,16762900,404.45704040527346,,405.9628363444781,428.9438727082868,26.33740305977419
2024-08-13,410.8599548339844,411.79280513110314,406.4537347921751,406.47357171655057,19414300,403.57281799316405,,406.8532215243883,428.23469945831414,39.60632203029644
2024-08-14,413.6882629394531,414.5417352887003,409.3118435327495,411.64393908583247,18267000,403.42494812011716,,408.09595632712734,427.66425096737845,48.7964943834482
2024-08-15,418.57965087890625,418.65917193819183,415.2292687595661,417.3567984201095,20752100,403.8892761230469,,410.00208260926894,427.30799214037955,47.194418627706106
2024-08-16,416.0345153808594,418.88780719208,414.871311404525,418.15212368395106,22775600,404.95453491210935,,411.0988885677399,426.86589501255526,44.0565788717537
2024-08-19,419.07672119140625,419.2954420190991,414.03622098500824,416.52167114516885,15234000,407.6478637695312,,412.54940359022464,426.5604372156475,49.49498234963929
2024-08-20,422.3276672363281,423.3814956474892,419.1860850211475,419.2457333961214,16387600,410.2236785888672,,414.32726970769795,426.39444623606636,55.90426832889293
2024-08-21,421.6715698242187,423.9183962597862,419.2656405890008,421.6118911043651,16067300,412.8509857177734,,415.6625970016108,426.2092353963861,56.438961116821226
2024-08-22,413.1315307617187,424.3061357802643,412.1969990352219,421.8902550651885,19361900,414.2015319824219,,415.2024031398122,425.69638423424226,56.4524989620161
2024-08-23,414.36431884765625,416.8199448280934,409.69166039420327,414.5532154876874,18493800,415.3448913574219,,415.050024177602,425.2519895131997,73.12484993845095
2024-08-26,411.08349609375,414.8514469502835,408.9460150702165,413.94673947074824,13152800,416.08176879882814,,414.32883725326525,424.6963623202801,65.47325461698335
2024-08-27,411.4314575195313,411.9484202096587,407.8623548739229,410.4571501735566,13492900,416.1389190673828,,413.8020409380409,424.17616997515273,67.39795053303095
2024-08-28,408.2103576660156,412.58474406521935,404.939496621488,412.46544730687265,14882700,415.59112854003905,,412.78537125221806,423.5500596885199,59.523142091820795
2024-08-29,410.7156677246094,419.593688512659,408.2103448580283,412.5250827426797,17045200,414.8047302246094,,412.40906151992556,423.0467501997391,58.792306796178025
2024-08-30,414.7122802734375,415.0602190186727,409.7314285183125,413.1812345025267,24308300,414.67250671386716,,412.82782856601864,422.71990824184496,61.580290934050694
2024-09-03,407.0570983886719,417.4363409532222,404.6611207314943,415.47780496274754,20313600,413.4705444335938,,411.7786048974101,422.10568040446566,46.03818743228053
2024-09-04,406.5202331542969,408.8466109265116,402.01659855552833,403.5476443909062,15135800,411.8898010253906,,410.8225373077531,421.49448639465515,42.157937683379465
2024-09-05,406.01318359375,410.6957628850725,403.7663270914325,405.2476455783769,14195500,410.32396240234374,,409.94810935975255,420.8873764808942,34.79302938448002
2024-09-06,399.3621215820313,408.2600144548305,398.4673353023376,406.6792718819864,19609500,408.947021484375,,408.0233843092578,420.04324883780157,31.64805116714996
