ds,yhat
2025-07-16,521.5424223836905
2025-07-17,522.7401991518523
2025-07-18,523.729699375516
2025-07-19,537.1178397517934
2025-07-20,538.5501870425504
2025-07-21,526.0261807920251
2025-07-22,529.0476112507074
2025-07-23,531.5688869045647
2025-07-24,532.7666636727333
2025-07-25,533.7561638964033
2025-07-26,547.1443042726878
2025-07-27,548.5766515634128
2025-07-28,536.0526453129318
2025-07-29,539.0740757715903
2025-07-30,541.595351425449
2025-07-31,542.7931281935993
2025-08-01,543.7826284172796
2025-08-02,557.1707687935697
2025-08-03,558.6031160842749
2025-08-04,546.0791098338096
2025-08-05,549.1005402924728
2025-08-06,551.6218159463258
2025-08-07,552.8195927144806
2025-08-08,553.8090929381312
2025-08-09,567.1972333144514
2025-08-10,568.6295806051602
2025-08-11,556.1055743546714
2025-08-12,559.1270048133526
2025-08-13,561.6482804672027
2025-08-14,562.8460572353615
