Price,Close,High,Low,Open,Volume (Millions),Ticker,MA_10,MA_50,Daily_Return,Price_Change,High_Low_Spread,Volatility
Ticker,MSFT,MSFT,MSFT,MSFT,,,,,,,,
Date,,,,,,,,,,,,
1986-05-22,0.06598329544067383,0.06651538424199094,0.06598329544067383,0.06598329544067383,4.4064,MSFT,0.06757955104112626,0.06342366769909859,0.0,0.0,0.0005320888013171099,0.018737619857505366
1986-05-23,0.06598329544067383,0.06704747304330805,0.06598329544067383,0.06598329544067383,4.0896,MSFT,0.06741992384195328,0.06355138160288334,0.0,0.0,0.0010641776026342198,0.011177611570834753
1986-05-27,0.06811162084341049,0.06811162084341049,0.0659832665694126,0.0659832665694126,13.8816,MSFT,0.06741992384195328,0.06367909498512744,0.032255518438757846,0.002128354273997893,0.002128354273997893,0.013642654274715062
1986-05-28,0.07023996859788895,0.07023996859788895,0.0681116145214402,0.0681116145214402,15.5232,MSFT,0.06757954806089402,0.06382807917892933,0.031247938723577784,0.002128354076448749,0.002128354076448749,0.014178960766517373
1986-05-29,0.0718369111418724,0.07290108914263742,0.06970794312906309,0.07024003212944559,45.6768,MSFT,0.0679520770907402,0.06404093973338604,0.022735524742695468,0.001596879012426819,0.00319314601357433,0.013970476965723207
1986-05-30,0.07449731975793839,0.07556149723893975,0.07236896479593567,0.07236896479593567,27.072,MSFT,0.068590646982193,0.06432829238474369,0.0370340062480119,0.0021283549620027126,0.003192532443004076,0.015308560755818275
1986-06-02,0.07236895710229874,0.07449731183803332,0.07236895710229874,0.07449731183803332,19.728,MSFT,0.06896317005157471,0.06460500314831734,-0.028569654083600127,-0.0021283547357345833,0.0021283547357345833,0.017034790632141795
1986-06-03,0.07236895710229874,0.07236895710229874,0.07130416772351611,0.07236895710229874,5.0112,MSFT,0.06944210901856422,0.06491363942623138,0.0,0.0,0.0010647893787826268,0.016846434659145617
1986-06-04,0.0718369111418724,0.07290108914263742,0.0713042101302106,0.07236900014225492,4.7232,MSFT,0.06992105320096016,0.06524355985224246,-0.007351853359918503,-0.0005320890003825129,0.001596879012426819,0.017002638840658058
1986-06-05,0.07290108501911163,0.07290108501911163,0.07130420609700955,0.07183690707854004,13.7088,MSFT,0.07061283215880394,0.06557347983121872,0.014813747700504143,0.0010641779405715923,0.0015968789221020852,0.017177868432978128
1986-06-06,0.07290108501911163,0.07290108501911163,0.07183690707854004,0.07290108501911163,3.4272,MSFT,0.07130461111664772,0.0658714747428894,0.0,0.0,0.0010641779405715923,0.01717311314107783
1986-06-09,0.06970791518688202,0.07290105992049513,0.06970791518688202,0.07290105992049513,12.672,MSFT,0.07167707309126854,0.06608432292938232,-0.04380140338641736,-0.0031931447336131097,0.0031931447336131097,0.020067220635069407
