Price,Close,High,Low,Open,Volume (Millions),Ticker,MA_10,MA_50,Daily_Return,Price_Change,High_Low_Spread,Volatility
Ticker,AMZN,AMZN,AMZN,AMZN,,,,,,,,
Date,,,,,,,,,,,,
1997-07-25,0.11145800352096558,0.11249999701976776,0.11093799769878387,0.11093799769878387,12.408,AMZN,0.11190120056271553,0.08864066019654274,-0.013829267852130456,0.0005200058221817017,0.0015619993209838867,0.07884985240403192
1997-07-28,0.11614599823951721,0.11979199945926666,0.11093799769878387,0.11145800352096558,51.48,AMZN,0.11283870041370392,0.08900524020195007,0.0420606378228352,0.004687994718551636,0.008854001760482788,0.07848660924074848
1997-07-29,0.12395799905061722,0.125,0.1166670024394989,0.11822900176048279,96.288,AMZN,0.11304700002074242,0.0897552402317524,0.06726018054440441,0.00572899729013443,0.008332997560501099,0.07902741005224825
1997-07-30,0.12239599972963333,0.12525999546051025,0.12135399878025055,0.125,50.352,AMZN,0.11361989974975586,0.09049482017755509,-0.012601036907235463,-0.0026040002703666687,0.0039059966802597046,0.07890813861302615
1997-07-31,0.11979199945926666,0.12187500298023224,0.1166670024394989,0.12187500298023224,29.088,AMZN,0.11450529992580413,0.09125524014234543,-0.02127520732800725,-0.002083003520965576,0.005208000540733337,0.07945808611530183
1997-08-01,0.12083300203084946,0.12083300203084946,0.11249999701976776,0.1171879991889,71.76,AMZN,0.11580730006098747,0.09224482014775276,0.008690084281770094,0.003645002841949463,0.008333005011081696,0.0672798539639475
1997-08-04,0.11562500149011612,0.1205729991197586,0.11510399729013443,0.11874999850988388,53.424,AMZN,0.11645830050110817,0.0931614801287651,-0.04310081230460283,-0.0031249970197677612,0.005469001829624176,0.06797806162922898
1997-08-05,0.11041700094938278,0.1166670024394989,0.10729199647903442,0.1166670024394989,60.648,AMZN,0.11682290062308312,0.09386982008814812,-0.04504216625829427,-0.006250001490116119,0.009375005960464478,0.06016724886208012
1997-08-06,0.11249999701976776,0.11562500149011612,0.109375,0.11041700094938278,24.864,AMZN,0.11661460027098655,0.09453648000955582,0.018864812958829358,0.0020829960703849792,0.006250001490116119,0.06028823805070255
1997-08-07,0.10885400325059891,0.11302100121974945,0.10625000298023224,0.11249999701976776,40.68,AMZN,0.1161979004740715,0.09518230006098748,-0.03240883436226405,-0.0036459937691688538,0.006770998239517212,0.055525510662415845
1997-08-08,0.11458300054073334,0.11510399729013443,0.10520800203084946,0.10833299905061722,44.232,AMZN,0.11651040017604827,0.09596876010298729,0.052630101962767295,0.006250001490116119,0.009895995259284973,0.05182985033068044
1997-08-11,0.11640600115060806,0.1166670024394989,0.11249999701976776,0.11458300054073334,24.792,AMZN,0.11653640046715737,0.09679688006639481,0.01590986971253794,0.0018230006098747253,0.00416700541973114,0.04924932203145109
1997-08-12,0.10989599674940109,0.11510399729013443,0.10989599674940109,0.11406300216913223,11.424,AMZN,0.11513020023703575,0.09748438000679016,-0.05592498957836556,-0.00416700541973114,0.005208000540733337,0.03933590966856687
1997-08-13,0.10989599674940109,0.11145800352096558,0.10833299905061722,0.11145800352096558,11.808,AMZN,0.11388019993901252,0.0982031399011612,0.0,-0.0015620067715644836,0.003125004470348358,0.03829278447612107
1997-08-14,0.10781300067901611,0.11249999701976776,0.10599000006914139,0.10885400325059891,20.832,AMZN,0.11268230006098748,0.09894273996353149,-0.018954248853439992,-0.0010410025715827942,0.006509996950626373,0.036921887300346776
1997-08-15,0.10572899878025055,0.10781300067901611,0.09687499701976776,0.10677099972963333,31.944,AMZN,0.11117189973592759,0.09951565995812416,-0.019329782917090976,-0.001042000949382782,0.010938003659248352,0.03662862723365392
1997-08-18,0.1020829975605011,0.10260400176048279,0.09843800216913223,0.10260400176048279,35.688,AMZN,0.10981769934296608,0.09990105986595153,-0.03448440126939423,-0.0005210041999816895,0.004165999591350555,0.03727153426180831
